title,year,genres,rating,votes
The Lord of the Rings: The Fellowship of the Ring,2001,"Action,Adventure,Drama",8.8,1580769
Shrek,2001,"Adventure,Animation,Comedy",7.8,587898
Training Day,2001,"Crime,Drama,Thriller",7.7,370908
Spooks,2002,"Action,Crime,Drama",8.2,13725
Interstate 60: Episodes of the Road,2002,"Adventure,Comedy,Drama",7.7,28657
Mulholland Dr.,2001,"Drama,Mystery,Thriller",8.0,303164
The Lord of the Rings: The Return of the King,2003,"Adventure,Drama,Fantasy",8.9,1568615
The Lord of the Rings: The Two Towers,2002,"Adventure,Drama,Fantasy",8.7,1416434
Lagaan: Once Upon a Time in India,2001,"Adventure,Drama,Musical",8.1,98461
Minority Report,2002,"Action,Crime,Mystery",7.6,486679
Band of Brothers,2001,"Action,Drama,History",9.5,347707
"Monsters, Inc.",2001,"Adventure,Animation,Comedy",8.0,776994
Moulin Rouge!,2001,"Drama,Musical,Romance",7.6,258869
Children of Men,2006,"Drama,Thriller",7.9,444257
Amélie,2001,"Comedy,Romance",8.3,676705
Enemy at the Gates,2001,"Drama,History,War",7.6,233161
Blow,2001,"Biography,Crime,Drama",7.6,231834
The Others,2001,"Horror,Mystery,Thriller",7.6,324126
Invader ZIM,2001,"Action,Adventure,Animation",8.3,18865
Devdas,2002,"Drama,Musical,Romance",7.6,36318
Water,2005,Drama,7.7,13916
Ocean's Eleven,2001,"Crime,Thriller",7.8,492082
Harry Potter and the Sorcerer's Stone,2001,"Adventure,Family,Fantasy",7.6,599948
Waking Life,2001,"Animation,Drama,Fantasy",7.8,58805
Spirited Away,2001,"Adventure,Animation,Family",8.6,598414
Y Tu Mamá También,2001,Drama,7.6,110838
The Count of Monte Cristo,2002,"Action,Adventure,Drama",7.8,124294
Donnie Darko,2001,"Drama,Mystery,Sci-Fi",8.0,717191
Six Feet Under,2001,"Comedy,Drama",8.7,114989
Hedwig and the Angry Inch,2001,"Comedy,Drama,Music",7.7,30732
The Experiment,2001,"Drama,Thriller",7.7,88837
61*,2001,"Biography,Drama,History",7.8,13268
The Pianist,2002,"Biography,Drama,Music",8.5,684295
Road to Perdition,2002,"Crime,Drama,Thriller",7.7,235905
The Bourne Identity,2002,"Action,Mystery,Thriller",7.9,489734
Catch Me If You Can,2002,"Biography,Crime,Drama",8.1,770090
Black Hawk Down,2001,"Drama,History,War",7.7,351513
The Royal Tenenbaums,2001,"Comedy,Drama",7.6,255171
Conspiracy,2001,"Biography,Drama,History",7.7,17640
Finding Nemo,2003,"Adventure,Animation,Comedy",8.1,907881
Kill Bill: Vol. 1,2003,"Action,Crime,Thriller",8.1,953295
Adaptation.,2002,"Comedy,Drama",7.7,170248
A Beautiful Mind,2001,"Biography,Drama",8.2,807156
Vizontele,2001,"Comedy,Drama",8.0,30760
Undeclared,2001,Comedy,7.9,15981
Justice League,2001,"Action,Adventure,Animation",8.5,38726
Cowboy Bebop: The Movie,2001,"Action,Animation,Crime",7.9,40940
Dogtown and Z-Boys,2001,"Documentary,Sport",7.7,11780
Dogville,2003,"Crime,Drama",8.0,131635
I Am Sam,2001,Drama,7.7,139096
Grand Theft Auto III,2001,"Action,Comedy,Crime",8.7,13312
Samurai Jack,2001,"Action,Adventure,Animation",8.5,42489
Bloody Sunday,2002,"Drama,History,War",7.6,22575
No Man's Land,2001,"Comedy,Drama,War",7.9,43167
24,2001,"Action,Crime,Drama",8.3,166373
Alias,2001,"Action,Drama,Mystery",7.6,43420
The Amazing Race,2001,"Adventure,Family,Game-Show",7.6,13016
Scrubs,2001,"Comedy,Drama",8.3,229326
The Triplets of Belleville,2003,"Animation,Comedy,Drama",7.8,49196
The Shield,2002,"Crime,Drama,Thriller",8.7,68518
Talk to Her,2002,"Drama,Mystery,Romance",7.9,100628
Bang Bang You're Dead,2002,"Crime,Drama,Thriller",7.8,12233
28 Days Later...,2002,"Drama,Horror,Sci-Fi",7.6,360644
Taken,2002,"Drama,Mystery,Sci-Fi",7.9,18761
The Butterfly Effect,2004,"Drama,Sci-Fi,Thriller",7.6,435843
The Life of David Gale,2003,"Crime,Drama,Thriller",7.6,104741
The Office,2001,"Comedy,Drama",8.5,92036
Trailer Park Boys,2001,"Comedy,Crime",8.4,35103
Max Payne,2001,"Action,Adventure,Crime",9.2,12576
Millennium Actress,2001,"Animation,Drama,Fantasy",7.9,21352
Nayak: The Real Hero,2001,"Action,Drama,Thriller",7.8,12985
Dil Chahta Hai,2001,"Comedy,Drama,Romance",8.1,63464
Son of the Bride,2001,"Comedy,Drama",7.8,14178
The Grim Adventures of Billy & Mandy,2001,"Adventure,Animation,Comedy",7.7,19321
Carandiru,2003,"Crime,Drama",7.6,17193
My Sassy Girl,2001,"Comedy,Drama,Romance",8.0,43665
The Blue Planet,2001,Documentary,9.0,31827
Company,2002,"Action,Crime,Drama",8.0,13761
In America,2002,Drama,7.7,39623
Hero,2002,"Action,Adventure,History",7.9,169825
Lilya 4-Ever,2002,"Crime,Drama",7.8,41053
Good Bye Lenin!,2003,"Comedy,Drama,Romance",7.7,133014
Winged Migration,2001,Documentary,7.9,11320
Firefly,2002,"Adventure,Drama,Sci-Fi",9.0,234809
Harry Potter and the Prisoner of Azkaban,2004,"Adventure,Family,Fantasy",7.9,516293
The Wire,2002,"Crime,Drama,Thriller",9.3,262408
25th Hour,2002,Drama,7.6,165585
Finding Neverland,2004,"Biography,Drama,Family",7.7,194180
Foyle's War,2002,"Crime,Drama,Mystery",8.4,11904
Sympathy for Mr. Vengeance,2002,"Action,Drama,Thriller",7.6,59016
Bowling for Columbine,2002,"Crime,Documentary,Drama",7.9,137177
The Man Without a Past,2002,"Comedy,Drama,Romance",7.7,21167
Monk,2002,"Comedy,Crime,Drama",7.9,61715
Philanthropy,2002,"Comedy,Drama",8.5,12061
Grand Theft Auto: Vice City,2002,"Action,Adventure,Comedy",9.2,21545
Love Actually,2003,"Comedy,Drama,Romance",7.6,409259
Battlestar Galactica,2003,"Action,Adventure,Drama",8.6,65058
21 Grams,2003,"Crime,Drama,Thriller",7.7,217986
City of God,2002,"Crime,Drama",8.6,671304
The Incredibles,2004,"Action,Adventure,Animation",8.0,630087
